ÁLAVA, 43
BEATO TOMÁS DE ZUMÁRRAGA, 10
ESPERANZA, 3
SALVATIERRABIDE, 9
CTRA. VITORIA - LOGROÑO, KM. 59
JOSÉ ATXOTEGUI, S/N
HERMANOS FALCÓ, 37
HERMANOS FALCÓ, 37
PÉREZ GALDÓS, 7
JUAN RAMÓN JIMÉNEZ, 40
PLAZA DEL MADROÑO, 11
SEMINARIO, 4
AVDA. ADOLFO SUÁREZ, S/N
AVENIDA MIGUEL DE CERVANTES, S/N
TRAVESÍA DE LA IGUALDAD, S/N
AV. PINTOR BAEZA, 12
AV. DE DENIA, 103
PZA. DOCTOR GÓMEZ ULLA, 15
POLÍGONO CARAMANCHEL, S/N
OLIVER, 55
AV. ALFONSO PUCHADES, 8
LES MADRIGUERES SUD 8
CAMÍ DE L´AMÀSSERA, 11
CTRA. ELDA A SAX, S/N
LILLO JUAN, 137
CTRA. ORBA-VALL DE LAGUAR, KM. 4 (FONTILLES)
AV. ALCALDE EN JAUME BOTELLA MAYOR, 7
CTRA. ORIHUELA-ALMORADI, S/N
AV. DE DENIA, 78
POLÍGONO PLA DE LA VALLONGA, S/N
CTRA. ALICANTE-VALENCIA S/N
PARTIDA DE LA LOMA, S/N
DR. RAMÓN Y CAJAL, 7
CTRA. TORREVIEJA A SAN MIGUEL DE SALINAS CV 95 PARTIDA LA CEÑUELA
PDA. BENIADLÁ, S/N
PTDA. PLANA D'EST, 4
PONENT, 15
TONICO SANSANO MORA, 14
MAX PLANCK, S/N
PARAJE DE TORRECÁRDENAS, S/N
CTRA. DE RONDA, KM. 196
CTRA. DEL MAMÍ, KM. 1
AV. DRA. ANA PARRA, S/N
PARAJE DE TORRECÁRDENAS, S/N
NUEVA MUSA, S/N
CRTA. DE ALMERIMAR, S/N
CAMINO DE LA BOTICA S/N. RETAMAR
AV. JUAN CARLOS I, S/N
JESÚS DEL GRAN PODER, 42
AV. SANTA CRUZ DE TENERIFE, 11
AVDA. JUAN CARLOS I, S/N
AV. DE ELVAS, S/N
AV. DE ELVAS, S/N
LA VIOLETA, 1
PASEO DE LA PIEDAD, 5
CTRA. DON BENITO-VILLANUEVA DE LA SERENA, KM. 3
AVDA. BADAJOZ, 1
AVDA. ANTONIO CAMPOS HOYOS, Nº 26
CTRA. VALVERDE-MÉRIDA, KM. 2
CONCEPCIÓN, 24
ELADIO SALINERO DE LOS SANTOS, 6
CTRA. DE LOS SANTOS, S/N
CRTA. BADAJOZ-GRANADA, S/N
AVDA. BADAJOZ, 1
AV. DAMIÁN TÉLLEZ LAFUENTE S/N
CRTRA TALARRUBIAS-AGUDO KM2
CRTA. NAL 630, KM 654,300
AVDA. ALONSO MARTÍN, 8
AVDA. ANTONIO CAMPOS HOYOS, Nº 26
AVDA. ADOLFO SUÁREZ GONZÁLEZ, 56
FEDERICO MAYOR ZARAGOZA S/N
AVDA. MADRID 12
PZA DEL HOSPITAL, 3
CAMÍ DE JESÚS, 40
BISBE CAMPINS, 4
PONS Y GALLARZA, 90
SANT JOAN DE DÉU, 7
SANTIAGO RUSIÑOL, 9
COMPANY, 30
CAMINO DE LA VILETA, 30
CTRA. DE BUNYOLA, KM. 12
CORONA, S/N
COSME VIDAL LLASER, 27. BARRIO CAS SERRES
VÍA ROMANA, S/N
CANONGE MOLL, S/N
VELER, 1. PLAYA DE MURO
AV. VIVES LLULL, 6
CRTA. MANACOR-ALCUDIA, S/N
CTRA. MANACOR, KM.4
CAMÍ DELS REIS, 308
VENDA DES BROLLS, S/N
CRTRA VELLA DE LLUBI, S/N
RONDA MALBÚGER, 1
CARRETERA VALDEMOSSA, 79
ESCAMARLÁ, 6  (PORTO CRISTO)
PASEO  ARBREDA  S/N
C/CAMILO JOSÉ CELA, 20
CR SABINO DE ARANA, 1
PS MARÍTIM DE LA BARCELONETA, 25
AV SANT JOSEP DE LA MUNTANYA, 12
CR VILLARROEL, 170
CR MADRAZO, 8
AV ALCALDE BARNILS, 54-60
CR COPÈRNIC, 58
CR LONDRES, 28-38
AV TIBIDABO, 20
CR DOS DE MAIG, 301
CR BALMES, 271
PS VALL D'HEBRON, 107
CR ESCORIAL, 148
CR TORRAS I PUJALT, 1
PS UNIVERSAL, 34
CR TICIÀ, 21
CR SANT QUINTÍ, 89
CR CAMÈLIES, 15
CR CONSELL DE CENT, 437
CM CAN RUTI, S/N
CR CARTAGENA, 340
CR SANT ANTONI MARIA CLARET, 135
CR VILADOMAT, 288
CR BUÏGAS, 19
CR DOCTOR ROUX, 76
PL ALFONS COMÍN, 5-7
AV VALLCARCA, 151
PL ESTACIÓ, 12
CR PLATÓ, 21
CR SABINO DE  ARANA, 5-19
CR VILANA, 12
AV DIAGONAL, 656
CR GUILLEM TELL, 4
CR MUNTANER, 314
AV GRAN  VIA, 203
CR GARCIA MARIÑO, 4
CR COROLEU, 50
CR PESCADORS, 88
CR PERE II DE MONTCADA, 16
CT CANYET, S/N
VI AUGUSTA, 9
CM SANT JERONI DE LA MURTRA, 60
CT DE RIBES, S/N
CR SANT JAUME, 209-217
CR SANT JOAN DE DÉU, 2
CR FRANCESC MORAGAS, 2
AV FRANCESC RIBAS, 1
CR FEIXA LLARGA, S/N
AV JOSEP MOLINS, 29
CR CARME VERDAGUER, 56
CT D'OLOT, 7
CR CAPUTXINS, 16
AV BASES DE MANRESA, 6-8
CR DOCTOR JOAN SOLER, 1-3
CR REMEI DE DALT, 3
AV COMTE DE LLOBREGAT, 117
AV MANCOMUNITATS COMARCALS, 1
PS DEL TERRAPLÈ, 97
RD PINETONS, 6-8
PR TAULI, S/N
CR DR. ANTONI PUJADAS, 38
CR DR. ANTONI PUJADAS, 42
CR CAMÍ VELL DE LA COLÒNIA, 25
AV DE L'HOSPITAL, 19
CR PEDRO I PONS, 1
CR MARIA VIDAL, 19
RD SANT CAMIL, S/N
CR PRAT DE LA RIBA, 171
AV MOSSÈN JOSEP PONS I ROBADÀ, S/N
CT TORREBONICA, S/N
PL DOCTOR ROBERT, 1
PL DOCTOR ROBERT, 5
CR FRANCESC PLA "EL VIGATA", 1
CR SANT SEGIMON, 3
RB HOSPITAL, 52
AV GAVÀ, 38
CR SANT JOSEP, 21
CT EL MASNOU A ALELLA, .1
CR LEPANT, 13-21
CR JOSEP TORRAS I BAGES, 55
CR CAMPINS, 37
CM DE LA MASIA, S/N
CR LLOBREGAT, 75
CR FONT I BOET, 16
CT CIRERA, 230
PS VALL D'HEBRON, 119-129
CT DE LLERONA, S/N
CR MARE DE DÉU DE LA SALUT, 49
PL PAU CASALS, S/N
CR ESPIRALL, S/N
PL DOCTOR ROBERT, 5
AV GRAN VIA, 203
CT CASSERRES (ABANS PO. LA SALA S/N), 1
CR MARE DE DÉU DEL COLL, 22
CR ENTENÇA, 155
CR SANT ANTONI, 52
CR BARÓ DE VIVER, 58
PG MERCADER, 14
CR HOSPITAL, 29-31
CR NUMÀNCIA, 7-13
CR APRESTADORA, 43-45
CT BARRI ORIENT  "CAN ZARIQUIEY", 26
AV VALLCARCA, 169-205
CR FRANCESC RIBAS, 59
PS MANUEL GIRONA, 33
CT DE CAPELLADES A MARTORELL, ,23
CT CANYET, S/N
PS VALL D'HEBRON, 157
CT SANT JOAN DESPÍ, 60
CT TORREBONICA, S/N
AV JOSEP MOLINS, 41
CR ANTEQUERA, 8-18
PS REINA ELISENDA DE MONTCADA, 17
CR SECRETARI COLOMA, 95
VI AUGUSTA, 66-70
AV GARRAF, 3
CR LLACUNA, 120-122
CR LLULL, 410
CR MARQUÈS DE SANTA ANNA, 9
CR MOSSOS D'ESQUADRA, 3
CR PALAFOLLS, 15-19
AV CATALUNYA, 11
CR ESLIDA, 6-8
CT MARTORELL A CAPELLADES, ,23
CR VERNTALLAT, 11-19
PS VALL D'HEBRON, 135-141
CR LEPANT, 401-403
CR SANT ANTONI MARIA CLARET, 200
AV JORDÀ, 8
CR LEPANT, 13-21
CT MASNOU A GRANOLLERS, ,13
PS RUBIÓ I ORS, 25-27
CR VICTOR HUGO, 10
CT DE MANRESA A SOLSONA. CAMÍ DE LES TORRES, C-55
PL KARL MARX, 1
AV JACINT VERDAGUER, 90
AV CAN MARCET, 11
CR SANT RAFAEL, 11
CR AVENIR, 14
AV BORBÓ, 18-30
CR SANT ELOI, 6-8
CR SANT MATEU, 24
CR SANT LLORENÇ, 39-41
CR FERNANDO PESSOA, 47-51
CR VICTOR HUGO, 24
CR PEDRO I PONS, 1
CR CIRÉS, S/N
CR CALATRAVA, 83
PL DE LES VAQUES, S/N
FRANCISCO SALINAS, S/N
CRUZ ROJA, S/N
Pº DE LA ISLA, 3
AV. RUPERTA BARAYA, 6
DURATÓN, 2
CTRA. DE ORÓN, S/N
AV. ISLAS BALEARES, 3
ISLAS BALEARES, 3
AV. PABLO NARANJO, S/N
AV. DE ESPAÑA, S/N
CERVANTES, 75
TOMÁS YUSTE MIRÓN, S/N
PARAJE VALCORCHERO, S/N
CTRA. DE CÁCERES, S/N
AV.PABLO NARANJO, S/N
AV. DE LA UNIVERSIDAD, 5
AVDA. LA SALLE, 22
RONDA DE SAN FRANCISCO, 1
AV. ANA DE VIYA, 21
FEDUCHY, 8-14
DIEGO ARIAS, 2
CTRA. DE GETARES, S/N
AV. DE TAMARIX, 4
RONDA DE CIRCUNVALACIÓN, S/N
GLORIETA FÉLIX RODRIGUEZ DE LA FUENTE, S/N
AV. MENÉNDEZ Y PELAYO, 103
VALDÉS, S/N
CTRA. NACIONAL IV, KM. 665
AV. AMBULATORIO S/N
CRTRA SANLÚCAR-CHIPIONA, S/N
AV. PUERTA DEL SUR, S/N
AYALA, 2
CTRA DE GETARES, S/N
URB. NOVO SANCTI PETRI, S/N
Pº DE LA ROSALEDA, 40
PARQUE EMPRESARIAL "LAS MARISMAS DE PALMONES", EDIFICIO ARTTYSUR
PASEO DE LA CONFERENCIA, S/N
PASEO CAPITAN CONFORTO, S/N.
AV. BENICASIM, S/N
CUADRA COLLET, 32. PARTIDA BOVALAR
AV. DOCTOR CLARA, 19
AV. GIL DE ATROCILLO, S/N
CRTRA DE VILA-REAL A BORRIANA, KM. 0,5
AV. LIDON 69 (Y JUAN DE HERRERA 27)
STA MARÍA ROSA MOLAS, 25
RONDA DEL CARMEN, S/N
ALISOS, 19
AVENIDA DE LA CONSTITUCIÓN, 3
AVDA. D. EMILIANO GARCÍA ROLDÁN, 2
C/ MALAGÓN, S/N
AVDA. ESTUDIANTES, S/N
OBISPO RAFAEL TORIJA, S/N
VEREDA DE SOCUÉLLAMOS, S/N
AV. MENÉNDEZ PIDAL, S/N
CTRA. DE LOS MORALES, S/N
AV. MENÉNDEZ PIDAL, S/N
AV. MENÉNDEZ PIDAL, S/N
Pº DE LA VICTORIA, S/N
AV. DEL BRILLANTE, 106
AV. DE GÓNGORA, S/N
C/ JUAN DEL REY CALERO, S/N
CRTRA. MONTORO-PUENTE GENIL, KM 65,350
AV. DE LA ARRUZAFA, 9
BURGOS, S/N
PARAJE CERRO DEL CAMELLO, S/N
JUBIAS DE ARRIBA, 84
JUBIAS DE ARRIBA, 84
JUBIAS DE ARRIBA, S/N
JUBIAS DE ARRIBA, 1
DOCTOR CAMILO VEIRAS, 1
LONDRES, 2
JUBIAS DE ARRIBA, 82
VIRREY OSORIO, 30
FILANTROPIA, 3
GENERAL SIR JOHN MOORE, S/N
RESIDENCIA, S/N
RESIDENCIA, S/N
PARDO BAZAN, S/N
PEGA (A), S/N
CHOUPANA (DA), S/N
CHOUPANA (DA), S/N
CHOUPANA (DA), S/N
RAMON BALTAR (DE), S/N
MARTIN HERRERA (DE), 002
BURGAS (DAS), 2
SANTIAGO LEON DE CARACAS (DE), 1
SANTISO, S/N
SALMON, S/N
ALCALDE PEPE SANCHEZ, 7
VIRREY OSORIO, 30
HERMANDAD DONANTES DE SANGRE, 1
AVDA. DE SAN JULIÁN, 1
AV FRANÇA, S/N
RD SANT ANTONI MARIA CLARET, 20
CR JOAN MARAGALL, 26
CR HEROÏNES DE SANTA BÀRBARA, 6
PS MOSSÈN LLUÍS CONSTANS, 130
CR JAUME ARCELOS, 1
CT DE GOMBREN, 20
RD RECTOR AROLAS, S/N
CR PERE III, 41
CR VALL DE VENECIA, 59
AV PAÏSOS CATALANS, 86
CR HOSPITAL., 36
CR DOCTOR CASTANY, S/N
CR ANTONI VARES I MARTINELL, 37
CT ACCÉS CALA SANT FRANCESC, 5
CR PORTAL NOU, 12
AV FRANÇA, 64
CM ANTIC DE LLÍVIA, S/N
RD RECTOR AROLAS, S/N
AV FRANÇA, S/N
AV DOCTOR CASTANY (P. H. MARTÍ I JULIÀ), S/N
CR PROVENÇA, 36
CR DR. CASTANY, S/N
CM D'UR, 31
AV. DE LAS FUERZAS ARMADAS, 2
SAN JUAN DE DIOS, 15
SAN JUAN DE DIOS, 19-23
DR ALEJANDRO OTERO, 8
CTRA. DE MURCIA, KM. 1,6
AV. ENRIQUE MARTÍN CUEVAS, S/N
AV. FUERZAS ARMADAS, 2
MARIANA PINEDA, S/N
AVDA. TIERNO GALVÁN, S/N
AV. SANTA MARÍA DE LA ALHAMBRA S/N
AVDA. DE LA ILUSTRACION, S/N.
AVENIDA DE LAS FUERZAS ARMADAS, 2
DONANTES DE SANGRE, S/N
CONSTITUCIÓN, 18
PASEO DOCTOR FERNÁNDEZ IPARAGUIRRE, 6
CARRETERA DE GUADALAJARA A CUENCA, KM. 8.200
PASEO DE LA ESTACIÓN, 2
Pº DE ARRIOLA, 26
CAMINO DE LOS PINOS, 35
PARQUE  MIRAMÓN, 174
ALKOLEA, 7
Pº. DR. BEGIRISTAIN, 121
FINCA ZUBIETA. Bº. MENDELU, S/N
AVDA. NAVARRA, 16
BARRIO GESALIBAR, 15
BARRIO GESALIBAR, 14
CTRA. IZASKUN, 9
BARRIO SAN ESTEBAN, 48
BARRIO ARGIXAO, S/N
Bº. MENDAROZABAL, S/N
Pº DR. BEGUIRISTAIN, 109
CAMINO DE SAN JUAN DE DIOS, 12
CTRA. DE SEVILLA-HUELVA, S/N
